#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Sep 07 12:00:11 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       maincodev6_map.ncd
#OUTPUT FILE:      maincodev6_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P25,M2p4,IOB,IO_L23P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P26,M2n4,IOB,IO_L23N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P27,M3p4,IOB,IO_L22P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P28,M3n4,IOB,IO_L22N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P29,,,GND,,,,,,,,,,,,
P30,HALL34,IOB,IO_L21P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
P31,HALL14,IOB,IO_L21N_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
P32,HALL24,IOB,IO_L20P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
P33,LED<3>,IOB,IO_L20N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P34,,,VCCO_6,,,3,,,,,2.50,,,,
P35,LED<2>,IOB,IO_L01P_6/VRN_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P36,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,
P37,,,M1,,,,,,,,,,,,
P38,,,M0,,,,,,,,,,,,
P39,,,M2,,,,,,,,,,,,
P40,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,
P41,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,
P42,,,GND,,,,,,,,,,,,
P43,,,VCCO_5,,,2,,,,,2.50,,,,
P44,,DIFFS,IO/VREF_5,UNUSED,,5,,,,,,,,,
P45,,,GND,,,,,,,,,,,,
P46,,DIFFM,IO_L28P_5/D7,UNUSED,,5,,,,,,,,,
P47,,DIFFS,IO_L28N_5/D6,UNUSED,,5,,,,,,,,,
P48,,,VCCAUX,,,,,,,,2.5,,,,
P49,,,VCCINT,,,,,,,,1.2,,,,
P50,,DIFFM,IO_L31P_5/D5,UNUSED,,5,,,,,,,,,
P51,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,
P52,,DIFFM,IO_L32P_5/GCLK2,UNUSED,,5,,,,,,,,,
P53,,DIFFS,IO_L32N_5/GCLK3,UNUSED,,5,,,,,,,,,
P54,,,VCCO_5,,,2,,,,,2.50,,,,
P55,,DIFFM,IO_L32P_4/GCLK0,UNUSED,,4,,,,,,,,,
P56,,DIFFS,IO_L32N_4/GCLK1,UNUSED,,4,,,,,,,,,
P57,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,
P58,,DIFFS,IO_L31N_4/INIT_B,UNUSED,,4,,,,,,,,,
P59,,DIFFM,IO_L30P_4/D3,UNUSED,,4,,,,,,,,,
P60,,DIFFS,IO_L30N_4/D2,UNUSED,,4,,,,,,,,,
P61,,,VCCINT,,,,,,,,1.2,,,,
P62,,,VCCAUX,,,,,,,,2.5,,,,
P63,,DIFFM,IO_L27P_4/D1,UNUSED,,4,,,,,,,,,
P64,,,GND,,,,,,,,,,,,
P65,,DIFFS,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,,,
P66,,,VCCO_4,,,2,,,,,2.50,,,,
P67,,,GND,,,,,,,,,,,,
P68,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,
P69,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,,,
P70,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P71,,,DONE,,,,,,,,,,,,
P72,,,CCLK,,,,,,,,,,,,
P73,M1p1,IOB,IO_L01P_3/VRN_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P74,M1n1,IOB,IO_L01N_3/VRP_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P75,,,VCCO_3,,,1,,,,,2.50,,,,
P76,M2p1,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P77,M2n1,IOB,IO_L20P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P78,M3p1,IOB,IO_L20N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P79,M3n1,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P80,HALL31,IOB,IO_L21N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P81,,,GND,,,,,,,,,,,,
P82,HALL11,IOB,IO_L22P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P83,HALL21,IOB,IO_L22N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P84,DATA_USB<0>,IOB,IO_L23P_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P85,DATA_USB<4>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P86,DATA_USB<2>,IOB,IO_L24P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P87,DATA_USB<1>,IOB,IO_L24N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P88,,,GND,,,,,,,,,,,,
P89,DATA_USB<7>,IOB,IO_L40P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P90,DATA_USB<5>,IOB,IO_L40N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P91,,,VCCO_3,,,1,,,,,2.50,,,,
P92,DATA_USB<6>,IOB,IO_L40P_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P93,DATA_USB<3>,IOB,IO_L40N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P94,,,GND,,,,,,,,,,,,
P95,USB_WR,IOB,IO_L24P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P96,,DIFFS,IO_L24N_2,UNUSED,,2,,,,,,,,,
P97,TXE,IOB,IO_L23P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P98,,DIFFS,IO_L23N_2/VREF_2,UNUSED,,2,,,,,,,,,
P99,M1p2,IOB,IO_L22P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P100,M1n2,IOB,IO_L22N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P101,,,GND,,,,,,,,,,,,
P102,M2p2,IOB,IO_L21P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P103,M2n2,IOB,IO_L21N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P104,M3p2,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P105,M3n2,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P106,,,VCCO_2,,,1,,,,,2.50,,,,
P107,HALL32,IOB,IO_L01P_2/VRN_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P108,HALL12,IOB,IO_L01N_2/VRP_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P109,,,TDO,,,,,,,,,,,,
P110,,,TCK,,,,,,,,,,,,
P111,,,TMS,,,,,,,,,,,,
P112,HALL22,IOB,IO_L01P_1/VRN_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P113,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,
P114,,,GND,,,,,,,,,,,,
P115,,,VCCO_1,,,0,,,,,2.50,,,,
P116,,DIFFS,IO,UNUSED,,1,,,,,,,,,
P117,,,GND,,,,,,,,,,,,
P118,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,
P119,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,
P120,,,VCCAUX,,,,,,,,2.5,,,,
P121,,,VCCINT,,,,,,,,1.2,,,,
P122,,DIFFM,IO_L31P_1,UNUSED,,1,,,,,,,,,
P123,,DIFFS,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,,,
P124,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,,,
P125,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,
P126,,,VCCO_1,,,0,,,,,2.50,,,,
P127,clk,IOB,IO_L32P_0/GCLK6,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P128,,DIFFS,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,,,
P129,,DIFFM,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,,,
P130,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,
P131,,DIFFM,IO_L30P_0,UNUSED,,0,,,,,,,,,
P132,,DIFFS,IO_L30N_0,UNUSED,,0,,,,,,,,,
P133,,,VCCINT,,,,,,,,1.2,,,,
P134,,,VCCAUX,,,,,,,,2.5,,,,
P135,,DIFFM,IO_L27P_0,UNUSED,,0,,,,,,,,,
P136,,,GND,,,,,,,,,,,,
P137,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,
P138,,,VCCO_0,,,0,,,,,2.50,,,,
P139,,,GND,,,,,,,,,,,,
P140,LED<0>,IOB,IO_L01P_0/VRN_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P141,LED<1>,IOB,IO_L01N_0/VRP_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P142,,,HSWAP_EN,,,,,,,,,,,,
P143,,,PROG_B,,,,,,,,,,,,
P144,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
